feature,pooled_train_std,per_dist_temporal_std_median,n_districts,ratio_temporal_over_pooled,mc_sampling_sigma_deployed
ANNUAL RAINFALL (Millimeters),704.1790993464857,254.44881281083005,303,0.3613410466839638,211.2537298039457
KHARIF_TMAX,3.223832947596783,0.5078254253779109,303,0.1575222518140932,0.9671498842790349
RABI_TMIN,4.351226198240352,0.6070052111109007,303,0.13950210433931826,1.3053678594721054
