sigma_mult,p10,p50,p90,width,red_pct,amber_pct,green_pct
0.1,2393.1,2394.1,2394.1,1.0,3,97,0
0.3,2384.4,2393.3,2394.1,9.7,35,65,0
0.5,2375.6,2391.8,2394.1,18.5,50,50,0
0.7,2373.8,2386.1,2394.1,20.3,60,40,0
