Dist Code,State Code,State Name,Dist Name,Year,SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),ANNUAL RAINFALL (Millimeters),KHARIF_RAIN_MM,RABI_RAIN_MM,SORGHUM IRRIGATED AREA (1000 ha),CANALS AREA (1000 ha),TUBE WELLS AREA (1000 ha),TOTAL WELLS AREA (1000 ha),NET AREA (1000 ha),GROSS AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),KHARIF_TMAX,KHARIF_TMIN,RABI_TMAX,RABI_TMIN,ANNUAL_TMAX,ANNUAL_TMIN,DIURNAL_TEMP_RANGE,N_KG_PER_HA,P_KG_PER_HA,K_KG_PER_HA,NPK_TOTAL_KG_PER_HA,FERT_KHARIF_TONS,FERT_RABI_TONS,GROWING_PERIOD_DAYS,SOIL_TYPE_DOMINANT,ANNUAL NORMAL RAINFALL (Millimeters),SORGHUM_STATE_PRICE,FERT_DATA_AVAILABLE
1,14,Chhattisgarh,Durg,1966,0.6,0.4,666.67,769.8,714.2,8.1,0.0,52.6,0.0,2.63,77.0,77.0,993.2,1082.4,108.98,32.4875,25.160000000000004,29.758,16.278000000000002,33.012499999999996,21.245833333333334,11.766666666666662,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,50.0,0
1,14,Chhattisgarh,Durg,1967,1.1,0.9,818.18,1263.5,1152.0,37.6,0.0,90.2,0.0,3.07,104.8,104.8,1014.0,1297.4,127.95,32.065,24.625,29.74,16.082,32.63333333333333,20.878333333333334,11.754999999999999,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,67.0,0
1,14,Chhattisgarh,Durg,1968,0.5,0.4,800.0,1172.3,1052.5,87.5,0.0,106.2,0.0,2.16,127.5,129.1,1031.0,1337.6,129.74,31.939999999999998,24.695,28.869999999999997,15.466,32.12,20.5025,11.617499999999996,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,69.2,0
1,14,Chhattisgarh,Durg,1969,0.8,0.6,750.0,929.0,894.1,3.1,0.0,111.0,0.0,2.79,135.2,135.2,1035.0,1340.0,129.47,31.6475,24.36,29.742,16.130000000000003,32.68416666666667,21.020000000000003,11.664166666666667,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,56.9,0
1,14,Chhattisgarh,Durg,1970,0.9,0.6,666.67,1484.3,1403.0,45.9,0.0,113.1,0.0,3.03,134.2,135.8,1035.0,1383.0,133.62,31.1375,23.935000000000002,28.826,15.539999999999997,32.08,20.647499999999997,11.432500000000001,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,48.0,0
1,14,Chhattisgarh,Durg,1971,0.3,0.2,666.67,1387.3,1190.3,142.0,0.0,119.3,0.0,3.51,141.4,146.5,1041.0,1400.0,134.49,31.037499999999998,23.8125,28.35,15.174000000000001,31.480833333333333,20.055000000000003,11.42583333333333,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,,0
1,14,Chhattisgarh,Durg,1972,0.3,0.3,1000.0,1046.9,936.2,103.00000000000001,0.0,107.9,0.0,3.96,138.2,138.9,1042.0,1371.0,131.57,32.5975,25.115000000000002,29.088,15.597999999999999,32.67666666666667,20.979166666666668,11.697500000000002,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,,0
1,14,Chhattisgarh,Durg,1973,0.2,0.2,1000.0,1483.0,1260.2,222.0,0.0,103.7,0.0,3.95,138.8,153.2,1046.0,1414.0,135.18,31.9075,24.709999999999997,29.21,15.998000000000001,32.82750000000001,21.365,11.46250000000001,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,,0
1,14,Chhattisgarh,Durg,1974,0.5,0.4,800.0,584.9,553.3,31.6,0.0,66.0,0.14,6.25,96.5,96.5,1039.0,1165.0,112.13,32.235,24.925,28.588,15.136000000000001,32.410833333333336,20.895833333333332,11.515000000000004,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,,0
1,14,Chhattisgarh,Durg,1975,0.2,0.2,1000.0,1262.5,1086.3,172.2,0.0,97.0,0.1,5.65,122.8,134.7,1063.7,1381.7,129.9,31.46,24.175,28.274,15.002,32.13,20.603333333333335,11.526666666666667,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,,0
