Dist Code,Year,yield_kg_ha
32,2008,281.37
32,2009,195.08
32,2010,245.31
32,2011,390.07
32,2012,467.97
32,2013,351.43
32,2014,180.0
32,2015,160.0
33,1966,52.63
33,1967,54.55
33,1968,82.3
33,1969,77.57
33,1970,59.3
33,1971,154.15
33,1972,98.59
33,1973,52.86
33,1974,92.78
33,1975,90.75
33,1976,80.42
33,1977,107.14
33,1978,110.78
33,1979,103.39
33,1980,113.52
33,1981,137.54
33,1982,136.99
33,1983,96.54
33,1984,115.17
33,1985,87.5
33,1986,100.0
33,1987,107.69
33,1988,120.12
33,1989,145.55
33,1990,141.01
33,1991,80.36
33,1992,138.4
33,1993,194.39
33,1994,172.19
33,1995,166.9
33,1996,186.06
33,1997,220.44
33,1998,209.32
33,1999,174.16
33,2000,96.39
33,2001,142.33
33,2002,135.13
33,2003,210.99
33,2004,223.71
33,2005,253.99
33,2006,279.7
33,2007,261.95
33,2008,218.39
33,2009,205.65
33,2010,205.98
33,2011,321.55
33,2012,398.96
33,2013,438.85
33,2014,133.33
33,2015,146.74
34,1966,80.0
34,1967,115.38
34,1968,86.58
34,1969,108.95
34,1970,40.74
34,1971,96.46
34,1972,97.9
34,1973,42.74
34,1974,153.85
34,1975,65.22
34,1976,75.66
34,1977,69.77
34,1978,76.36
34,1979,71.71
34,1980,78.19
34,1981,95.62
34,1982,97.05
34,1983,67.26
34,1984,50.96
34,1985,54.26
34,1986,142.86
34,1987,66.67
34,1988,72.92
34,1989,104.76
34,1990,103.57
34,1991,51.05
34,1992,106.69
34,1993,114.6
34,1994,85.38
34,1995,69.8
34,1996,83.78
34,1997,140.67
34,1998,100.69
34,1999,63.59
34,2000,47.56
34,2001,83.52
34,2002,73.95
34,2003,142.15
34,2004,121.35
34,2005,148.2
34,2006,114.77
34,2007,134.51
34,2008,151.69
34,2009,108.96
34,2010,106.64
34,2011,209.47
34,2012,218.0
34,2013,495.82
34,2014,168.75
34,2015,216.0
35,1966,52.29
35,1967,89.55
35,1968,124.8
35,1969,96.07
35,1970,73.13
35,1971,160.49
35,1972,108.15
35,1973,71.05
35,1974,151.47
35,1975,91.64
35,1976,99.52
35,1977,99.14
35,1978,89.29
35,1979,83.86
35,1980,91.8
35,1981,110.41
35,1982,110.81
35,1983,78.24
35,1984,62.65
35,1985,75.92
35,1986,76.5
35,1987,69.52
35,1988,122.72
35,1989,136.75
35,1990,106.74
35,1991,70.53
35,1992,148.47
35,1993,151.26
35,1994,138.98
35,1995,137.33
35,1996,147.43
35,1997,192.04
35,1998,147.02
35,1999,151.54
35,2000,59.09
35,2001,102.08
35,2002,109.11
35,2003,186.95
35,2004,181.9
35,2005,157.85
35,2006,197.37
35,2007,210.45
35,2008,231.73
35,2009,193.5
35,2010,308.07
35,2011,295.43
35,2012,383.15
35,2013,357.44
35,2014,259.78
35,2015,260.38
36,1966,41.96
36,1967,59.26
36,1968,70.64
36,1969,86.55
36,1970,47.38
36,1971,86.12
36,1972,72.44
36,1973,66.24
36,1974,67.36
36,1975,74.57
36,1976,69.44
36,1977,51.99
36,1978,52.29
36,1979,49.36
36,1980,53.91
36,1981,64.42
36,1982,65.15
36,1983,48.5
36,1984,83.33
36,1985,91.8
36,1986,48.28
36,1987,86.33
36,1988,68.39
36,1989,85.69
36,1990,87.35
36,1991,50.8
36,1992,83.94
36,1993,87.52
36,1994,65.33
36,1995,89.72
36,1996,98.83
36,1997,101.65
36,1998,87.08
36,1999,109.75
36,2000,59.3
36,2001,101.06
36,2002,97.03
36,2003,127.46
36,2004,127.63
36,2005,153.52
36,2006,164.54
36,2007,220.27
36,2008,160.64
36,2009,104.49
36,2010,148.86
36,2011,247.05
36,2012,280.06
36,2013,448.94
36,2014,212.48
36,2015,294.38
37,1966,55.56
37,1967,62.5
37,1968,80.0
37,1969,56.45
37,1970,24.79
37,1971,52.63
37,1972,73.39
37,1973,31.58
37,1974,80.81
37,1975,30.77
37,1976,47.62
37,1977,48.19
37,1978,50.0
37,1979,54.55
37,1980,56.6
37,1981,54.55
37,1982,57.69
37,1983,40.82
37,1984,60.24
37,1985,76.92
37,1986,166.67
37,1987,60.0
37,1988,47.06
37,1989,65.79
37,1990,67.26
37,1991,50.52
37,1992,77.52
37,1993,91.25
37,1994,42.86
37,1995,60.0
37,1996,65.22
37,1997,80.95
37,1998,52.17
37,1999,42.86
37,2001,66.67
37,2002,100.0
37,2003,100.0
37,2004,76.92
37,2005,111.11
37,2006,111.11
37,2008,200.0
37,2009,116.67
37,2010,128.18
37,2011,231.43
40,1966,150.0
40,1967,150.0
40,1968,130.43
40,1969,111.11
40,1970,37.04
40,1971,71.43
40,1972,71.43
40,1973,40.0
40,1974,83.33
40,1975,43.48
40,1976,41.67
40,1977,41.67
40,1978,40.0
40,1979,43.48
40,1980,45.45
40,1981,43.48
40,1982,45.45
40,1983,50.0
40,1984,90.91
40,1985,100.0
40,1986,100.0
40,1987,100.0
40,1988,142.86
40,1989,111.11
40,1990,70.0
40,1991,41.67
40,1992,71.43
40,1993,84.11
40,1994,75.0
40,1995,76.92
40,1996,76.92
40,1997,113.33
40,1998,83.33
40,1999,77.78
40,2000,87.5
40,2001,90.91
40,2002,81.82
40,2003,109.09
40,2004,117.12
40,2005,150.44
40,2006,132.81
40,2007,130.77
40,2008,153.85
40,2009,140.0
40,2010,152.18
40,2011,249.04
40,2012,281.25
40,2013,190.48
40,2014,180.0
41,1966,72.73
41,1967,78.43
41,1968,96.62
41,1969,93.42
41,1970,38.03
41,1971,57.69
41,1972,45.45
41,1973,24.73
41,1974,86.82
41,1975,51.63
41,1976,52.26
41,1977,85.64
41,1978,73.94
41,1979,69.23
41,1980,75.7
41,1981,92.66
41,1982,93.88
41,1983,65.22
41,1984,69.89
41,1985,111.11
41,1986,62.5
41,1987,93.02
41,1988,74.07
41,1989,40.0
41,1990,100.78
41,1991,41.47
41,1992,83.87
41,1993,105.59
41,1994,41.67
41,1995,33.33
41,1996,42.86
41,1997,125.0
42,1966,63.29
42,1967,76.92
42,1968,89.96
42,1969,88.83
42,1970,54.05
42,1971,61.6
42,1972,70.36
42,1973,26.0
42,1974,92.52
42,1975,64.45
42,1976,63.08
42,1977,65.61
42,1978,46.77
42,1979,43.9
42,1980,47.86
42,1981,58.54
42,1982,59.43
42,1983,41.21
42,1984,75.19
42,1985,48.61
42,1986,37.5
42,1987,100.0
42,1988,86.96
42,1989,93.75
42,1990,99.6
42,1991,73.39
42,1992,93.02
42,1993,104.17
42,1994,100.0
42,1995,100.0
42,2014,154.29
43,1966,57.14
43,1967,62.5
43,1968,57.31
43,1969,80.92
43,1970,45.45
43,1971,70.55
43,1972,114.91
43,1973,57.64
43,1974,107.95
43,1975,48.05
43,1976,69.57
43,1977,63.22
43,1978,64.07
43,1979,60.98
43,1980,66.04
43,1981,79.27
43,1982,80.65
43,1983,54.98
43,1984,98.51
43,1985,113.01
43,1986,129.03
43,1987,193.55
43,1988,147.06
43,1989,127.6
43,1990,91.58
43,1991,121.72
43,1992,106.7
43,1993,125.45
43,1994,123.38
43,1995,173.86
43,1996,132.47
43,1997,131.58
43,1998,173.08
43,1999,96.0
43,2000,135.71
43,2001,126.67
43,2002,92.31
43,2003,150.0
43,2004,174.6
43,2005,236.18
43,2006,219.64
43,2007,185.29
43,2008,257.58
43,2009,181.25
43,2010,268.29
43,2011,332.56
43,2012,363.64
43,2013,300.0
43,2014,135.0
44,1990,444.44
44,1991,555.56
44,1992,357.14
44,1994,680.0
44,1995,340.0
44,1996,374.0
44,1997,396.67
44,1998,140.0
44,1999,281.5
44,2000,321.03
44,2001,444.44
44,2002,297.5
44,2003,275.23
44,2004,321.44
44,2005,197.66
44,2006,259.95
44,2007,338.98
44,2008,315.38
44,2009,347.48
44,2010,236.78
44,2011,295.15
44,2012,475.12
44,2013,434.0
44,2014,628.09
44,2015,482.31
45,1989,1000.0
45,1990,400.0
45,1991,600.0
45,1992,344.44
45,1994,340.0
45,1995,283.33
45,1996,510.0
45,1997,510.0
45,1998,136.0
45,1999,281.61
45,2000,321.22
45,2001,443.44
45,2002,315.71
45,2003,267.69
45,2004,327.13
45,2005,181.39
45,2006,221.79
45,2007,216.28
45,2008,183.33
45,2009,326.15
45,2010,195.91
45,2011,255.69
45,2012,408.12
45,2013,371.77
45,2014,524.32
45,2015,366.43
46,1971,111.11
46,1972,83.33
46,1973,181.82
46,1974,250.0
46,1975,222.22
46,1976,142.86
46,1977,62.5
46,1978,166.67
46,1979,230.77
46,1980,384.62
46,1981,333.33
46,1982,285.71
46,1983,466.67
46,1984,500.0
46,1985,250.0
46,1986,333.33
46,1987,200.0
46,1988,224.49
46,1989,396.55
46,1990,493.75
46,1991,538.89
46,1992,349.23
46,1993,453.33
46,1994,354.17
46,1995,351.33
46,1996,487.33
46,1997,408.0
46,1998,127.5
46,1999,281.18
46,2000,320.79
46,2001,443.56
46,2002,272.0
46,2003,506.13
46,2004,483.77
46,2005,124.1
46,2006,365.45
46,2007,397.47
46,2008,324.36
46,2009,487.59
46,2010,302.23
46,2011,257.03
46,2012,328.19
46,2013,204.32
46,2014,382.08
46,2015,526.49
47,1971,83.33
47,1973,333.33
47,1974,200.0
47,1984,333.33
47,1985,500.0
47,1986,500.0
47,1987,300.0
47,1988,235.29
47,1989,396.55
47,1990,495.83
47,1991,540.98
47,1992,349.4
47,1993,396.67
47,1994,382.5
47,1995,340.0
47,1996,476.0
47,1997,340.0
47,1998,170.0
47,1999,277.42
47,2000,320.2
47,2001,443.43
47,2002,340.0
47,2003,505.32
47,2004,483.39
47,2005,411.61
47,2006,524.03
47,2007,684.44
47,2008,612.54
47,2009,547.62
47,2010,386.36
47,2011,364.52
47,2012,573.87
47,2013,448.47
47,2014,254.08
47,2015,594.76
48,1966,80.0
48,1967,500.0
48,1968,100.0
48,1969,176.47
48,1970,222.22
48,1971,318.84
48,1972,327.59
48,1973,285.71
48,1974,476.19
48,1975,266.67
48,1976,100.0
48,1977,162.16
48,1978,375.0
48,1979,294.12
48,1980,266.67
48,1981,185.19
48,1982,260.87
48,1983,419.35
48,1984,425.41
48,1985,238.3
48,1986,200.0
48,1987,81.25
48,1988,226.89
48,1989,394.74
48,1990,289.02
48,1991,538.38
48,1992,348.75
48,1993,442.0
48,1994,375.79
48,1995,353.08
48,1996,481.67
48,1997,411.92
48,1998,136.83
48,1999,281.07
48,2000,369.9
48,2001,372.91
48,2002,318.06
48,2003,502.82
48,2004,487.9
48,2005,327.95
48,2006,459.01
48,2007,562.1
48,2008,609.49
48,2009,510.02
48,2010,385.1
48,2011,348.04
48,2012,549.99
48,2013,681.96
48,2014,847.58
48,2015,684.92
49,1966,71.43
49,1967,100.0
49,1968,75.76
49,1969,123.97
49,1970,120.0
49,1971,260.5
49,1972,167.29
49,1973,437.42
49,1974,480.89
49,1975,369.23
49,1976,276.48
49,1977,98.28
49,1978,373.44
49,1979,455.73
49,1980,739.85
49,1981,632.58
49,1982,582.23
49,1983,882.94
49,1984,469.23
49,1985,261.33
49,1986,472.22
49,1987,185.19
49,1988,245.41
49,1989,403.81
49,1990,520.58
49,1991,546.57
49,1992,361.88
49,1993,451.64
49,1994,381.39
49,1995,364.77
49,1996,485.5
49,1997,428.84
49,1998,120.25
49,1999,293.39
49,2000,325.13
49,2001,481.76
49,2002,308.79
49,2003,561.51
49,2004,533.53
49,2005,499.2
49,2006,584.16
49,2007,763.16
49,2008,646.86
49,2009,579.37
49,2010,399.19
49,2011,368.91
49,2012,626.62
49,2013,683.94
49,2014,896.34
49,2015,675.35
50,1966,60.0
50,1967,16.67
50,1968,21.28
50,1969,51.72
50,1971,157.89
50,1972,90.91
50,1973,216.22
50,1974,457.63
50,1975,435.48
50,1976,344.37
50,1977,95.51
50,1978,369.32
50,1979,454.55
50,1980,520.83
50,1981,658.99
50,1982,487.68
50,1983,876.15
50,1984,325.3
50,1985,221.29
50,1986,307.69
50,1987,129.03
50,1988,156.93
50,1989,317.2
50,1990,398.1
50,1991,492.09
50,1992,271.84
50,1993,423.28
50,1994,291.55
50,1995,267.67
50,1996,412.55
50,1997,275.65
50,1998,204.18
50,1999,208.13
50,2000,251.56
50,2001,333.74
50,2002,232.06
50,2003,380.39
50,2004,302.01
50,2005,317.0
50,2006,403.07
50,2007,562.01
50,2008,567.25
50,2009,499.54
50,2010,357.3
50,2011,383.89
50,2012,508.5
50,2013,573.27
50,2014,615.01
50,2015,490.84
51,1966,70.92
51,1967,58.82
51,1968,56.9
51,1969,36.64
51,1970,51.31
51,1971,51.78
51,1972,44.46
51,1973,45.07
51,1974,99.54
51,1975,76.7
51,1976,81.41
51,1977,66.75
51,1978,82.54
51,1979,100.9
51,1980,100.09
51,1981,130.77
51,1982,170.43
51,1983,181.0
51,1984,259.2
51,1985,175.44
51,1986,195.12
51,1987,122.81
51,1988,139.67
51,1989,231.51
51,1990,186.88
51,1991,254.34
51,1992,245.91
51,1993,303.1
51,1994,255.25
51,1995,279.64
51,1996,263.43
51,1997,219.87
51,1998,160.72
51,1999,188.88
51,2000,227.68
51,2001,186.06
51,2002,157.4
51,2003,198.21
51,2004,153.91
51,2005,170.82
51,2006,244.49
51,2007,307.95
51,2008,362.78
51,2009,278.09
51,2010,354.5
51,2011,231.16
51,2012,214.6
51,2013,600.29
51,2014,481.93
51,2015,337.48
52,1966,47.62
52,1967,28.57
52,1968,31.75
52,1969,47.62
52,1970,41.94
52,1971,51.78
52,1972,42.11
52,1973,48.69
52,1974,144.23
52,1975,59.32
52,1976,71.43
52,1977,103.57
52,1978,61.54
52,1979,76.09
52,1980,123.67
52,1981,106.25
52,1982,96.99
52,1983,145.96
52,1984,279.07
52,1985,166.67
52,1986,100.0
52,1987,66.67
52,1988,153.85
52,1989,266.19
52,1990,169.86
52,1991,233.63
52,1992,243.28
52,1993,289.0
52,1994,245.56
52,1995,297.5
52,1996,262.73
52,1997,242.86
52,1998,157.86
52,1999,189.42
52,2000,227.76
52,2001,180.12
52,2002,148.75
52,2003,171.02
52,2004,134.38
52,2005,178.79
52,2006,218.54
52,2007,77.36
52,2008,130.43
52,2009,101.94
52,2010,117.51
52,2011,106.22
52,2012,218.89
52,2013,369.57
52,2014,253.28
52,2015,299.39
53,1966,83.33
53,1967,83.33
53,1968,133.33
53,1969,87.72
53,1970,79.65
53,1971,48.0
53,1972,61.54
53,1973,52.17
53,1974,150.68
53,1975,40.82
53,1976,90.0
53,1977,140.74
53,1978,76.27
53,1979,96.0
53,1980,156.25
53,1981,131.03
53,1982,125.0
53,1983,184.93
53,1984,35.71
53,1985,20.83
53,1986,50.0
53,1987,100.0
53,1988,166.67
53,1989,222.22
53,1990,168.0
53,1991,232.99
53,1992,243.61
53,1993,291.43
53,1994,276.25
53,1995,279.29
53,1996,244.38
53,1997,222.31
53,1998,156.4
53,1999,188.9
53,2000,228.09
53,2001,183.97
53,2002,184.17
53,2003,140.05
53,2004,97.04
53,2005,137.86
53,2006,120.91
53,2007,265.26
53,2008,172.62
53,2009,241.08
53,2010,408.0
53,2011,266.13
53,2012,350.07
53,2013,264.76
53,2014,301.49
53,2015,256.34
54,2008,500.0
54,2009,285.71
54,2010,83.33
54,2011,25.0
54,2012,222.22
54,2013,457.14
54,2014,423.53
54,2015,315.79
55,1967,100.0
55,1974,200.0
55,1983,500.0
55,1985,250.0
55,1986,133.33
55,1987,153.85
