,mean_abs_shap
YIELD_LAG_1,127.277306
YIELD_LAG_3,64.36429
YEAR_TREND,34.028355
PRICE_TREND_3YR,29.489008
TUBE WELLS AREA (1000 ha),14.948469
CHICKPEA_STATE_PRICE,13.631794
KHARIF_RAIN_MM,11.7968645
RAINFALL_DEV_PCT,10.223149
CANALS AREA (1000 ha),8.017853
TOTAL WELLS AREA (1000 ha),7.7379627
