,mean_abs_shap
YIELD_LAG_1,159.074
YIELD_LAG_3,92.43974
YEAR_TREND,74.13322
PEARL_MILLET_STATE_PRICE,35.410423
NET AREA (1000 ha),18.858414
GROSS AREA (1000 ha),14.3064
KHARIF_RAIN_MM,13.72833
TUBE WELLS AREA (1000 ha),12.795021
FERT_IRR_INTERACTION,12.718746
TOTAL WELLS AREA (1000 ha),12.676743
