,mean_abs_shap
YIELD_LAG_1,507.16708
YIELD_LAG_3,212.82797
YEAR_TREND,122.7541
FERT_IRR_INTERACTION,48.06949
RABI_TMIN,29.419825
PRICE_TREND_3YR,23.474081
KHARIF_TMIN,22.61384
IRRIGATION_RATIO,19.544846
CROPPING_INTENSITY,17.195932
P_KG_PER_HA,16.126736
