,mean_abs_shap
YIELD_LAG_1,502.36682
YIELD_LAG_3,222.12445
YEAR_TREND,54.359707
FERT_IRR_INTERACTION,45.070347
IRRIGATION_RATIO,44.301437
RAINFALL_DEV_PCT,30.07194
FERT_RABI_TONS,18.468739
ANNUAL RAINFALL (Millimeters),14.958201
DECADE,11.319278
DIURNAL_TEMP_RANGE,8.471172
