,mean_abs_shap
YIELD_LAG_1,526.3865
YIELD_LAG_3,242.96114
WHEAT IRRIGATED AREA (1000 ha),52.759186
IRRIGATION_RATIO,48.375954
PRICE_TREND_3YR,18.876266
TUBE WELLS AREA (1000 ha),18.20589
YEAR_TREND,16.755013
NET_CROP_RATIO,15.967854
RAINFALL_DEV_MM,15.962404
KHARIF_TMIN,11.730161
