,mean_abs_shap
YIELD_LAG_1,1218.1046
YIELD_LAG_3,535.0059
RABI_TMIN,143.75702
PRICE_TREND_3YR,101.71377
SUGARCANE_STATE_PRICE,69.26067
IRRIGATION_RATIO,58.295826
FERT_RABI_TONS,55.89889
RABI_RAIN_MM,44.640285
ANNUAL NORMAL RAINFALL (Millimeters),42.056374
K_KG_PER_HA,41.10955
