,mean_abs_shap
YIELD_LAG_1,183.50587
YIELD_LAG_3,90.46919
YEAR_TREND,77.21043
PRICE_TREND_3YR,54.212112
ANNUAL RAINFALL (Millimeters),14.6499405
ANNUAL NORMAL RAINFALL (Millimeters),12.578286
RAINFALL_DEV_PCT,9.235244
GROWING_PERIOD_DAYS,7.509884
WATER_INTENSITY,7.3278446
FERT_RABI_TONS,6.4813647
