,mean_abs_shap
YIELD_LAG_1,105.81771
YIELD_LAG_3,63.810394
SOIL_INCEPTISOLS,33.852386
RABI_TMIN,15.584742
RABI_TMAX,12.212152
PRICE_TREND_3YR,9.239627
TUBE WELLS AREA (1000 ha),9.09393
KHARIF_RAIN_MM,8.8228655
ANNUAL RAINFALL (Millimeters),8.23329
RABI_TEMP_RANGE,6.207433
