,mean_abs_shap
YIELD_LAG_1,83.19838
YEAR_TREND,31.247297
YIELD_LAG_3,26.583492
IRRIGATION_RATIO,9.033229
FERT_IRR_INTERACTION,5.379515
COTTON IRRIGATED AREA (1000 ha),4.5166817
COTTON_STATE_PRICE,4.4886627
WATER_INTENSITY,3.8169262
GROSS AREA (1000 ha),3.2843137
NET_CROP_RATIO,3.049303
